run_id,source_center,model,method,seed,case_id,video_id,lesion_id,shape,hard_flat,morphology_group,cluster_id,n_frames,dice_mean
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_15,case20,case20_15,IIa,True,hard_flat_IIa,case20_15:case20,150,0.671358
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_16,case20,case20_16,IIa,True,hard_flat_IIa,case20_16:case20,150,0.696779
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_17,case20,case20_17,IIa,True,hard_flat_IIa,case20_17:case20,150,0.735192
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_18,case20,case20_18,IIa,True,hard_flat_IIa,case20_18:case20,150,0.670995
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_19,case20,case20_19,IIa,True,hard_flat_IIa,case20_19:case20,118,0.469181
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_2,case20,case20_2,IIa,True,hard_flat_IIa,case20_2:case20,205,0.102544
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_20,case20,case20_20,IIa,True,hard_flat_IIa,case20_20:case20,138,0.380416
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_3,case20,case20_3,IIa,True,hard_flat_IIa,case20_3:case20,148,0.328513
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_4,case20,case20_4,IIa,True,hard_flat_IIa,case20_4:case20,150,0.329561
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_5,case20,case20_5,IIa,True,hard_flat_IIa,case20_5:case20,191,0.461749
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_6,case20,case20_6,IIa,True,hard_flat_IIa,case20_6:case20,150,0.5806
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_7,case20,case20_7,IIa,True,hard_flat_IIa,case20_7:case20,170,0.484081
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_8,case20,case20_8,IIa,True,hard_flat_IIa,case20_8:case20,233,0.248686
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_9,case20,case20_9,IIa,True,hard_flat_IIa,case20_9:case20,150,0.500287
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case21,case21,case21,IIa,True,hard_flat_IIa,case21:case21,100,0.535906
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case22,case22,case22,IIa,True,hard_flat_IIa,case22:case22,314,0.080079
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case23,case23,case23,Ip,False,non_flat,case23:case23,182,0.62229
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case24_1,case24,case24_1,Ip,False,non_flat,case24_1:case24,150,0.801487
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case24_2,case24,case24_2,Ip,False,non_flat,case24_2:case24,150,0.920908
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case24_3,case24,case24_3,Ip,False,non_flat,case24_3:case24,152,0.917599
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case24_4,case24,case24_4,Ip,False,non_flat,case24_4:case24,150,0.850538
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case24_5,case24,case24_5,Ip,False,non_flat,case24_5:case24,150,0.861175
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case24_6,case24,case24_6,Ip,False,non_flat,case24_6:case24,221,0.761199
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case25_1,case25,case25_1,Is,False,non_flat,case25_1:case25,202,0.768785
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case25_2,case25,case25_2,Is,False,non_flat,case25_2:case25,136,0.827587
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case26_1,case26,case26_1,Is,False,non_flat,case26_1:case26,151,0.570988
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case26_2,case26,case26_2,Is,False,non_flat,case26_2:case26,219,0.326467
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case27,case27,case27,Is,False,non_flat,case27:case27,249,0.624459
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case28,case28,case28,Is,False,non_flat,case28:case28,195,0.120741
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case29_1,case29,case29_1,Isp,False,non_flat,case29_1:case29,214,0.585985
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case29_2,case29,case29_2,Isp,False,non_flat,case29_2:case29,163,0.818331
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_1,case2,case2_1,Is,False,non_flat,case2_1:case2,150,0.959693
