run_id,source_center,model,method,seed,case_id,cluster_id,morphology_group,dice_mean,hd95_px_mean,weighted_fbeta_mean,boundary_iou_mean
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case100,case100:case100,hard_flat_IIa,0.7603611728857034,46.69455763155648,0.6602735628175721,0.4427346353346659
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case10_1,case10_1:case10,hard_flat_IIa,0.6310976757186965,112.67825392745684,0.5026519474790828,0.3081906241318493
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case10_2,case10_2:case10,hard_flat_IIa,0.4550484418437806,109.17719588177924,0.3591267956641849,0.1640760933038227
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case11,case11:case11,hard_flat_IIa,0.8731640635887098,37.9315639266003,0.8326582018842308,0.5892902789143951
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case12_1,case12_1:case12,non_flat,0.8119673554756285,37.136504889575086,0.7755491772618306,0.5195233659069267
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case12_2,case12_2:case12,non_flat,0.6968751954815798,52.36138727174088,0.6656394348302691,0.5086342814660063
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case12_3,case12_3:case12,non_flat,0.9542373785101768,17.65465013266818,0.9341423566256544,0.7249041433550045
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case13_1,case13_1:case13,non_flat,0.6576575759236937,164.9834497961479,0.5185791141107078,0.3564236440569705
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case13_2,case13_2:case13,non_flat,0.8944345350453579,17.046151196645422,0.8615633289239794,0.673557679393012
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case13_3,case13_3:case13,non_flat,0.9146803676607462,18.45886820910017,0.8914282714073232,0.6370402781019664
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case14_1,case14_1:case14,hard_flat_IIa,0.5182515417914423,113.15390434501812,0.4864063037367047,0.2451403041977861
srcC1_polyp_pvt_joint_affine_floor_seed0_ja20260714,C1,polyp_pvt,joint_affine_floor,0,case14_2,case14_2:case14,hard_flat_IIa,0.5056372405363763,121.1220177307489,0.4865683422772076,0.2211313321279545
