candidate,reference,metric,morphology_group,n_cells,mean_delta,positive_cells,ci_low,ci_high,paired_t_p,comparison_id,ci_source,cell_deltas_json,holm_family,paired_t_p_holm
SLAug,warp_alpha100,boundary_iou_mean,hard_flat_IIa,6,0.20452261275036202,6,0.17682006766121508,0.23222515783950895,7.485228371273091e-06,JA3,paired_t_6_source_seed_cells,"[0.18517130926079772, 0.20621313080943848, 0.1709192370035324, 0.24788897064368054, 0.2142078362531715, 0.20273519253155142]",F2/F5-existing:not-recomputed,
SLAug,joint_affine_floor,boundary_iou_mean,hard_flat_IIa,6,0.009949797030969368,4,-0.01629369418659725,0.03619328824853598,0.3745217030920315,JA4,paired_t_6_source_seed_cells,"[0.03861831517510883, 0.019320712129686224, -0.03292831233674853, 0.025371361485657107, -0.0018515301349238955, 0.011168235867036469]","F3-new:JA1,JA2,JA4",0.749043406184063
SLAug,strong_aug_floor,boundary_iou_mean,hard_flat_IIa,6,0.004369741795215866,3,-0.023389171397099416,0.03212865498753115,0.7024612386215527,TOTAL,paired_t_6_source_seed_cells,"[-0.002927684836239175, 0.005253171107837129, -0.022472983573896488, 0.0011395165918168804, 0.05461089179929196, -0.009384460317515109]",F1-existing:not-recomputed,
joint_affine_floor,strong_aug_floor,dice_mean,all,6,-0.006658186104340842,3,-0.032412127443443496,0.019095755234761813,0.5357404791354503,JA1,paired_t_6_source_seed_cells,"[-0.027478478304359122, -0.01597727308597241, 0.0066806105885365286, 0.017575516221563947, 0.018763643587526246, -0.039513135633340246]","F3-new:JA1,JA2,JA4",0.5357404791354503
warp_alpha100,joint_affine_floor,dice_mean,all,6,-0.11356539721567462,0,-0.164200909271107,-0.06292988516024223,0.002205401950765657,JA2,paired_t_6_source_seed_cells,"[-0.0792522175932382, -0.09029767101726804, -0.11307825127622761, -0.20544006786426539, -0.11798116873450704, -0.07534300680854145]","F3-new:JA1,JA2,JA4",0.006616205852296971
SLAug,warp_alpha100,dice_mean,all,6,0.1274999036712286,6,0.08519992275709867,0.16979988458535852,0.0005724721682089469,JA3,paired_t_6_source_seed_cells,"[0.1104304349848565, 0.11536719943463469, 0.08965292218202947, 0.20499526616207053, 0.13208395340018098, 0.11246964586359942]",F2/F5-existing:not-recomputed,
SLAug,joint_affine_floor,dice_mean,all,6,0.013934506455553978,4,-0.009819670021970163,0.037688682933078116,0.19193693299921413,JA4,paired_t_6_source_seed_cells,"[0.0311782173916183, 0.02506952841736665, -0.023425329094198144, -0.0004448017021948525, 0.01410278466567394, 0.037126639055057975]","F3-new:JA1,JA2,JA4",0.38387386599842827
SLAug,strong_aug_floor,dice_mean,all,6,0.007276320351213135,4,-0.010523497800821645,0.025076138503247913,0.34145381526537355,TOTAL,paired_t_6_source_seed_cells,"[0.0036997390872591795, 0.009092255331394239, -0.016744718505661615, 0.017130714519369095, 0.032866428253200186, -0.002386496578282271]",F1-existing:not-recomputed,
joint_affine_floor,strong_aug_floor,hd95_px_mean,all,6,1.2947173803237273,4,-6.427541026766584,9.016975787414038,0.6844272539814195,JA1,paired_t_6_source_seed_cells,"[8.14926019792668, 4.900217450084334, -6.450789431677549, 3.8866896861129305, -9.419602105360866, 6.702528484856835]","F3-new:JA1,JA2,JA4",0.6844272539814195
warp_alpha100,joint_affine_floor,hd95_px_mean,all,6,19.203331936508818,6,-3.482651661510353,41.88931553452799,0.08152772602847427,JA2,paired_t_6_source_seed_cells,"[22.32960476621978, 1.4697867171360173, 7.931151083928057, 58.31517270832262, 24.161759504328373, 1.0125168391180495]","F3-new:JA1,JA2,JA4",0.16305545205694855
