multiplicity_family,candidate,reference,model,metric,higher_is_better,source_center,seed,delta,n_cases,n_videos,improvement
F5-Fbw,SLAug,warp_shift_only,polyp_pvt,weighted_fbeta_mean,True,C3,1,0.04437024868130104,101,34,0.04437024868130104
F5-Fbw,SLAug,warp_shift_only,polyp_pvt,weighted_fbeta_mean,True,C3,2,-0.028514872905794884,101,34,-0.028514872905794884
F5-Fbw,slaug_official_plus_warp,SLAug_official,polyp_pvt,weighted_fbeta_mean,True,C1,0,-0.043091865863502825,101,34,-0.043091865863502825
F5-Fbw,slaug_official_plus_warp,SLAug_official,polyp_pvt,weighted_fbeta_mean,True,C1,1,-0.00870265156129456,101,34,-0.00870265156129456
F5-Fbw,slaug_official_plus_warp,SLAug_official,polyp_pvt,weighted_fbeta_mean,True,C1,2,-0.11922738348423449,101,34,-0.11922738348423449
F5-Fbw,slaug_official_plus_warp,SLAug_official,polyp_pvt,weighted_fbeta_mean,True,C3,0,0.045099817558985705,101,34,0.045099817558985705
F5-Fbw,slaug_official_plus_warp,SLAug_official,polyp_pvt,weighted_fbeta_mean,True,C3,1,-0.0020700537179397472,101,34,-0.0020700537179397472
F5-Fbw,slaug_official_plus_warp,SLAug_official,polyp_pvt,weighted_fbeta_mean,True,C3,2,0.0031251666315333286,101,34,0.0031251666315333286
F5-BIoU,SLAug,warp_alpha015,polyp_pvt,boundary_iou_mean,True,C1,0,-0.004641023856133619,101,34,-0.004641023856133619
F5-BIoU,SLAug,warp_alpha015,polyp_pvt,boundary_iou_mean,True,C1,1,0.0004770518397516504,101,34,0.0004770518397516504
F5-BIoU,SLAug,warp_alpha015,polyp_pvt,boundary_iou_mean,True,C1,2,-0.017613911064065964,101,34,-0.017613911064065964
F5-BIoU,SLAug,warp_alpha015,polyp_pvt,boundary_iou_mean,True,C3,0,-0.03605569681162887,101,34,-0.03605569681162887
F5-BIoU,SLAug,warp_alpha015,polyp_pvt,boundary_iou_mean,True,C3,1,0.01965850563993397,101,34,0.01965850563993397
F5-BIoU,SLAug,warp_alpha015,polyp_pvt,boundary_iou_mean,True,C3,2,0.013875756661401877,101,34,0.013875756661401877
F5-BIoU,SLAug,warp_alpha100,polyp_pvt,boundary_iou_mean,True,C1,0,0.18517130926079775,101,34,0.18517130926079775
F5-BIoU,SLAug,warp_alpha100,polyp_pvt,boundary_iou_mean,True,C1,1,0.20621313080943848,101,34,0.20621313080943848
F5-BIoU,SLAug,warp_alpha100,polyp_pvt,boundary_iou_mean,True,C1,2,0.17091923700353243,101,34,0.17091923700353243
F5-BIoU,SLAug,warp_alpha100,polyp_pvt,boundary_iou_mean,True,C3,0,0.24788897064368057,101,34,0.24788897064368057
F5-BIoU,SLAug,warp_alpha100,polyp_pvt,boundary_iou_mean,True,C3,1,0.21420783625317158,101,34,0.21420783625317158
F5-BIoU,SLAug,warp_alpha100,polyp_pvt,boundary_iou_mean,True,C3,2,0.20273519253155145,101,34,0.20273519253155145
F5-BIoU,SLAug,warp_shift_only,polyp_pvt,boundary_iou_mean,True,C1,0,0.06434652970235272,101,34,0.06434652970235272
F5-BIoU,SLAug,warp_shift_only,polyp_pvt,boundary_iou_mean,True,C1,1,0.059245958560724184,101,34,0.059245958560724184
F5-BIoU,SLAug,warp_shift_only,polyp_pvt,boundary_iou_mean,True,C1,2,-0.013607038739514256,101,34,-0.013607038739514256
F5-BIoU,SLAug,warp_shift_only,polyp_pvt,boundary_iou_mean,True,C3,0,-0.01711866766583649,101,34,-0.01711866766583649
F5-BIoU,SLAug,warp_shift_only,polyp_pvt,boundary_iou_mean,True,C3,1,0.029988291141595808,101,34,0.029988291141595808
F5-BIoU,SLAug,warp_shift_only,polyp_pvt,boundary_iou_mean,True,C3,2,-0.01905170742399507,101,34,-0.01905170742399507
F5-BIoU,slaug_official_plus_warp,SLAug_official,polyp_pvt,boundary_iou_mean,True,C1,0,-0.028575927676947013,101,34,-0.028575927676947013
F5-BIoU,slaug_official_plus_warp,SLAug_official,polyp_pvt,boundary_iou_mean,True,C1,1,-0.017826962064467714,101,34,-0.017826962064467714
F5-BIoU,slaug_official_plus_warp,SLAug_official,polyp_pvt,boundary_iou_mean,True,C1,2,-0.07224760845437045,101,34,-0.07224760845437045
F5-BIoU,slaug_official_plus_warp,SLAug_official,polyp_pvt,boundary_iou_mean,True,C3,0,0.044535028682992396,101,34,0.044535028682992396
F5-BIoU,slaug_official_plus_warp,SLAug_official,polyp_pvt,boundary_iou_mean,True,C3,1,-0.022978786113475737,101,34,-0.022978786113475737
F5-BIoU,slaug_official_plus_warp,SLAug_official,polyp_pvt,boundary_iou_mean,True,C3,2,-0.01606065757328244,101,34,-0.01606065757328244
