multiplicity_family,stratum,candidate,reference,model,metric,source_center,seed,delta,n_cases,n_videos
F1,hard_flat_IIa,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.09322658415841585,101,34
F1,hard_flat_IIa,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.02850172277227722,101,34
F1,hard_flat_IIa,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.0769549405940594,101,34
F1,hard_flat_IIa,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.002275504101815549,101,34
F1,hard_flat_IIa,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.04608305399572307,101,34
F1,hard_flat_IIa,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.09443264529265835,101,34
F1,hard_flat_IIa,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.06308866254096882,101,34
F1,hard_flat_IIa,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.08581858014566784,101,34
F1,hard_flat_IIa,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.026003396290135854,101,34
F1-all,all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.00369974385964912,285,100
F1-all,all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.009092252631578946,285,100
F1-all,all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.016744701754385964,285,100
F1-all,all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.01713064912280702,285,100
F1-all,all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.03286641403508772,285,100
F1-all,all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.0023865403508771896,285,100
F1-all,all,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.02318843157894737,285,100
F1-all,all,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.0085736,285,100
F1-all,all,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.026705870175438594,285,100
F1-all,all,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.024477905263157896,285,100
F1-all,all,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.012294821052631579,285,100
F1-all,all,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.01301091929824561,285,100
F1-all,all,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.03272802807017545,285,100
F1-all,all,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.03184478245614034,285,100
F1-all,all,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.0345214,285,100
F1-all,all,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.009161582456140353,285,100
F1-all,all,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.01643658245614035,285,100
F1-all,all,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.049904340350877194,285,100
F1-all,all,DSU,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.04588071228070176,285,100
F1-all,all,DSU,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.0021558947368421045,285,100
F1-all,all,DSU,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.011977533333333335,285,100
F1-all,all,DSU,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.008405038596491223,285,100
F1-all,all,DSU,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.02333462456140351,285,100
F1-all,all,DSU,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.07629203859649122,285,100
F1-all,all,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.0004830771929824563,285,100
F1-all,all,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.018165985964912285,285,100
F1-all,all,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.0046847684210526335,285,100
F1-all,all,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.002909231578947372,285,100
F1-all,all,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.004947024561403509,285,100
F1-all,all,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.012726554385964907,285,100
F1-all,all,fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.04608367368421053,285,100
F1-all,all,fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.011573982456140351,285,100
F1-all,all,fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.012248929824561402,285,100
F1-all,all,fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.0019897298245614026,285,100
