method,morphology_group,metric,higher_is_better,n_cells,cell_mean,cell_sd,delta_vs_floor,delta_ci_low,delta_ci_high,inference_status
spectral_ibn_combo,hard_flat_IIa,boundary_iou_mean,True,6,0.34236231698223313,0.017081091380210665,-0.014349414714378691,-0.05455811095733393,0.02585928152857654,descriptive_expanded_boundary
strong_aug_floor,hard_flat_IIa,dice_mean,True,6,0.5761243331380284,0.035386352650729605,0.0,0.0,0.0,descriptive_expanded_boundary
strong_aug_floor,hard_flat_IIa,hd95_px_mean,False,6,90.86627602956376,14.811412940941187,0.0,0.0,0.0,descriptive_expanded_boundary
strong_aug_floor,hard_flat_IIa,weighted_fbeta_mean,True,6,0.5320561610249047,0.046151313230881286,0.0,0.0,0.0,descriptive_expanded_boundary
strong_aug_floor,hard_flat_IIa,boundary_iou_mean,True,6,0.35671173169661174,0.03438128938342212,0.0,0.0,0.0,descriptive_expanded_boundary
CCSDG,all,dice_mean,True,6,0.7213735851832436,0.014384932706040672,0.003117613984888079,-0.018823919970650478,0.025059147940426636,descriptive_expanded_boundary
CCSDG,all,hd95_px_mean,False,6,62.22886443872352,8.148833863099249,1.1500491524804204,-6.43115491519123,8.73125322015207,descriptive_expanded_boundary
CCSDG,all,weighted_fbeta_mean,True,6,0.6843961477624241,0.02992655408865832,0.0034060887560852793,-0.029824725609793885,0.036636903121964444,descriptive_expanded_boundary
CCSDG,all,boundary_iou_mean,True,6,0.4835690660662748,0.02364972591406007,0.008524492010394458,-0.02400149415580851,0.041050478176597426,descriptive_expanded_boundary
CSDG,all,dice_mean,True,6,0.7091963667619687,0.020449283359402316,-0.009059604436386723,-0.04427131400414159,0.02615210513136814,descriptive_expanded_boundary
CSDG,all,hd95_px_mean,False,6,65.27288810656466,7.695587937158573,4.19407282032157,-5.23643223807908,13.62457787872222,descriptive_expanded_boundary
CSDG,all,weighted_fbeta_mean,True,6,0.6745293962773906,0.027189660061377328,-0.006460662728948204,-0.0585637943158469,0.04564246885795049,descriptive_expanded_boundary
CSDG,all,boundary_iou_mean,True,6,0.47155446580676746,0.0286404310636099,-0.003490108249112861,-0.05108941837043912,0.0441092018722134,descriptive_expanded_boundary
DSU,all,dice_mean,True,6,0.7015468448096608,0.02009797062336638,-0.016709126388694706,-0.05601353433481689,0.02259528155742748,descriptive_expanded_boundary
DSU,all,hd95_px_mean,False,6,65.38547628716633,5.353335633966442,4.306661000923235,-4.641325535102274,13.254647536948744,descriptive_expanded_boundary
DSU,all,weighted_fbeta_mean,True,6,0.6673536232875644,0.031368490159533906,-0.013636435718774284,-0.07085265869391252,0.04357978725636396,descriptive_expanded_boundary
DSU,all,boundary_iou_mean,True,6,0.4639770391829241,0.03072527062576453,-0.011067534872956261,-0.06469939769723623,0.042564327951323706,descriptive_expanded_boundary
MixStyle,all,dice_mean,True,6,0.7124981258454369,0.018434182875150598,-0.00575784535291853,-0.014515036098852217,0.0029993453930151565,descriptive_expanded_boundary
