n_cells,mean_delta,positive_cells,ci_low,ci_high,paired_t_p,exact_sign_flip_p,cell_deltas_json,contrast_id,evaluation_source,metric,higher_is_better,morphology_group,ci_source,holm_family,paired_t_p_holm_f6
6,-45.56893240703573,0,-91.66099816706605,0.5231333529945914,0.05180501577251308,0.03125,"[-62.87935802967523, -16.089758643268524, -2.7688229536742455, -124.16917220724227, -43.434358640488796, -24.072123967865366]",blend_unpaired,boundary_case,hd95_px_mean,False,hard_flat_IIa,paired_t_6_source_seed_cells,not_recomputed_here,
6,-12.588708433314707,1,-33.60679000196402,8.429373135334608,0.1842713679944261,0.15625,"[-26.313989908481027, -13.683085258014103, 21.93475176041565, -1.0134265467343937, -28.925734377794825, -27.530766269279553]",blend_paired,boundary_case,hd95_px_mean,False,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.4287626887785879
6,32.98022397372103,5,-15.83086284062938,81.79131078807144,0.1429208962595293,0.09375,"[36.565368121194204, 2.4066733852544218, 24.703574714089896, 123.15574566050788, 14.50862426269397, -3.458642301414187]",interaction,boundary_case,hd95_px_mean,False,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.4287626887785879
6,0.1331115458171472,6,0.08682949278626599,0.1793935988480284,0.0007121303094017264,0.03125,"[0.09053426940702436, 0.11688445895974231, 0.13710465440100295, 0.194265995765392, 0.17394445513757506, 0.08593544123214653]",sync_no_blend,boundary_case,weighted_fbeta_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.0004497654106585351,3,-0.027275814575129752,0.028175345396446824,0.9683517501429497,1.0,"[-0.003962007844343085, 0.02675009863299671, 0.02499633515746269, -0.044882095298268254, 0.007665438944881253, -0.007869177128778104]",sync_blend,boundary_case,weighted_fbeta_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.9683517501429497
6,0.14655314528245464,6,0.09713342919909879,0.1959728613658105,0.0006176688230398735,0.03125,"[0.14573225032524473, 0.1458192633422683, 0.09141660560958731, 0.21888677434382592, 0.17542258187143445, 0.10204139620236702]",blend_unpaired,boundary_case,weighted_fbeta_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.013891364875965956,4,-0.021098243725062367,0.04888097347699428,0.354278166291483,0.40625,"[0.05123597307387728, 0.0556849030155227, -0.020691713633952946, -0.020261316719834332, 0.00914356567874064, 0.008236777841442389]",blend_paired,boundary_case,weighted_fbeta_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.708556332582966
6,-0.13266178040648866,0,-0.19504269912555502,-0.07028086168742229,0.002788366721283628,0.03125,"[-0.09449627725136744, -0.0901343603267456, -0.11210831924354026, -0.23914809106366025, -0.1662790161926938, -0.09380461836092463]",interaction,boundary_case,weighted_fbeta_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.008365100163850885
6,0.19457281571939267,6,0.1660153175517975,0.22313031388698784,1.1124639953692424e-05,0.03125,"[0.1465529940856889, 0.18689241867975226, 0.20384754934028093, 0.22251760915802343, 0.2160593663880954, 0.19156695666451495]",sync_no_blend,boundary_case,boundary_iou_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,not_recomputed_here,
6,-0.0036056579587079307,2,-0.028072132896011803,0.02086081697859594,0.7203673322517556,0.71875,"[-0.00995438959687217, 0.022202116459376364, 0.027172291349203292, -0.03251084318684477, -0.014991098084553123, -0.013552024692557174]",sync_blend,boundary_case,boundary_iou_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",1.0
6,0.20452261275036202,6,0.17682006766121508,0.23222515783950895,7.485228371273091e-06,0.03125,"[0.18517130926079772, 0.20621313080943848, 0.1709192370035324, 0.24788897064368054, 0.2142078362531715, 0.20273519253155142]",blend_unpaired,boundary_case,boundary_iou_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.006344139072261436,2,-0.017941796438800072,0.030630074583322942,0.5316690778929886,0.5625,"[0.02866392557823666, 0.04152282858906259, -0.005756020987545241, -0.0071394817011876666, -0.01684262821947702, -0.002383788825520705]",blend_paired,boundary_case,boundary_iou_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",1.0
6,-0.1981784736781006,0,-0.23931041822242574,-0.15704652913377545,6.079881588782342e-05,0.03125,"[-0.15650738368256106, -0.1646903022203759, -0.17667525799107764, -0.2550284523448682, -0.23105046447264851, -0.20511898135707213]",interaction,boundary_case,boundary_iou_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.00018239644766347024
6,0.11356539721567462,6,0.06292988516024223,0.164200909271107,0.002205401950765657,0.03125,"[0.0792522175932382, 0.09029767101726804, 0.11307825127622761, 0.20544006786426539, 0.11798116873450704, 0.07534300680854145]",sync_no_blend,boundary_case,dice_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,-0.0017779109501298758,4,-0.015220895810098034,0.01166507390983828,0.7476927539373959,0.90625,"[-0.003460047564205704, 0.0014412811726652874, 0.009760306293896459, -0.026369308734014774, 0.005220106461192531, 0.002740196669686945]",sync_blend,boundary_case,dice_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.7476927539373959
6,0.1274999036712286,6,0.08519992275709867,0.16979988458535852,0.0005724721682089469,0.03125,"[0.1104304349848565, 0.11536719943463469, 0.08965292218202947, 0.20499526616207053, 0.13208395340018098, 0.11246964586359942]",blend_unpaired,boundary_case,dice_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.012156595505424103,4,-0.015421371731957277,0.039734562742805485,0.3085505590292914,0.3125,"[0.027718169827412598, 0.026510809590031936, -0.013665022800301685, -0.026814110436209626, 0.01932289112686647, 0.03986683572474492]",blend_paired,boundary_case,dice_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.6171011180585828
6,-0.1153433081658045,0,-0.17708850982997557,-0.05359810650163343,0.004875124820641672,0.03125,"[-0.0827122651574439, -0.08885638984460276, -0.10331794498233116, -0.23180937659828016, -0.1127610622733145, -0.0726028101388545]",interaction,boundary_case,dice_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.014625374461925016
6,-19.203331936508818,0,-41.88931553452799,3.482651661510353,0.08152772602847427,0.03125,"[-22.32960476621978, -1.4697867171360173, -7.931151083928057, -58.31517270832262, -24.161759504328373, -1.0125168391180495]",sync_no_blend,boundary_case,hd95_px_mean,False,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,1.705262302013337,3,-6.249707315295558,9.660231919322232,0.6053221801827734,0.5625,"[-0.33999225167350033, 2.655222411560004, 7.131495685117045, 13.079081561801885, -6.355558535526342, -5.9386750591990705]",sync_blend,boundary_case,hd95_px_mean,False,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.6053221801827734
6,-27.721439274094475,0,-51.947264807056285,-3.4956137411326687,0.03220071752569611,0.03125,"[-36.490141790258555, -13.994021519888655, -6.071343615067903, -68.84104236077089, -28.66167864365447, -12.270407714926385]",blend_unpaired,boundary_case,hd95_px_mean,False,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,-6.812845035572322,2,-17.618458451391714,3.9927683802470684,0.16600173318511977,0.1875,"[-14.500529275712275, -9.869012391192634, 8.9913031539772, 2.553211909353621, -10.855477674852438, -17.196565935007406]",blend_paired,boundary_case,hd95_px_mean,False,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.33705050717383317
6,20.908594238522156,5,-7.026481980423693,48.84367045746801,0.11235016905794439,0.09375,"[21.98961251454628, 4.125009128696021, 15.062646769045102, 71.3942542701245, 17.80620096880203, -4.926158220081021]",interaction,boundary_case,hd95_px_mean,False,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.33705050717383317
6,0.16044698653207373,6,0.10396438934445262,0.21692958371969484,0.0007542723743064944,0.03125,"[0.09425533682221432, 0.15488548953731174, 0.18960940965318696, 0.21162228191531496, 0.2134500010833485, 0.09885940018106598]",sync_no_blend,boundary_case,weighted_fbeta_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.007544623463613546,4,-0.013752831522309102,0.028842078449536197,0.4042535226647639,0.4375,"[-0.00036107422640563325, 0.015151656237190503, 0.0394995658499121, -0.02222315700702837, 0.002734943978419224, 0.010465805949593454]",sync_blend,boundary_case,weighted_fbeta_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.8085070453295278
6,0.1563761032890485,6,0.11320121327360688,0.1995509933044901,0.00024055597314434022,0.03125,"[0.12950598771196797, 0.17603202346674052, 0.1329291984606421, 0.1968845224479876, 0.20202615121524542, 0.10087873643170742]",blend_unpaired,boundary_case,weighted_fbeta_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.0034737402205883097,3,-0.027498303173757507,0.034445783614934125,0.7846793099611619,0.8125,"[0.03488957666334802, 0.03629819016661928, -0.01718064534263275, -0.03696091647435573, -0.008688905889683851, 0.012485142200234889]",blend_paired,boundary_case,weighted_fbeta_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.8085070453295278
6,-0.1529023630684602,0,-0.21522493601464268,-0.09057979012227771,0.0014753473419980372,0.03125,"[-0.09461641104861995, -0.13973383330012124, -0.15010984380327486, -0.23384543892234333, -0.21071505710492927, -0.08839359423147253]",interaction,boundary_case,weighted_fbeta_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.004426042025994111
6,0.26297878318300355,6,0.21526892280549192,0.3106886435605152,3.152693050010762e-05,0.03125,"[0.1824362847477239, 0.2456265674651426, 0.29138988084354334, 0.3107060587232692, 0.28444473135328474, 0.2632691759650578]",sync_no_blend,boundary_case,boundary_iou_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.002679490816400102,4,-0.014218587547226482,0.019577569180026688,0.7004248016848327,0.71875,"[0.0032440782665140167, 0.01659944979190131, 0.024704874389018472, -0.017378276523266456, -0.011852528272034701, 0.0007593472462679718]",sync_blend,boundary_case,boundary_iou_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",1.0
6,0.2581252864686842,6,0.2254859399735079,0.2907646329638605,5.32730378520534e-06,0.03125,"[0.20283170807485773, 0.26183044405931705, 0.25044427802501457, 0.2953109795736607, 0.2754871683217603, 0.2628471407574949]",blend_unpaired,boundary_case,boundary_iou_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,-0.002174005897919301,3,-0.029449458906182984,0.025101447110344382,0.8457379847447815,0.9375,"[0.02363950159364786, 0.03280332638607575, -0.016240728429510354, -0.03277335567287498, -0.020810091303559153, 0.0003373120387050732]",blend_paired,boundary_case,boundary_iou_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",1.0
6,-0.2602992923666035,0,-0.31481469675600754,-0.20578388797719943,6.352966358551573e-05,0.03125,"[-0.17919220648120987, -0.2290271176732413, -0.2666850064545249, -0.3280843352465357, -0.29629725962531944, -0.2625098287187898]",interaction,boundary_case,boundary_iou_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.00019058899075654717
